client_number,first_name,last_name,email,mobile_number,date_of_birth,gender,province,city,signup_date,event_type,event_date,account_number,product_type,account_status,credit_limit,loan_amount,account_balance,channel,interaction_type,resolved_flag,transaction_type,amount
CL00241,Lindiwe,Ndlovu,lindiwe.ndlovu80@telkomsa.net,+27642681144,1972-10-11,M,Mpumalanga,Witbank,2022-01-26,Product Enrollment,2022-04-11,AC000315,Personal Loan,Active,,100000,31041.19,,,,,
CL01135,Karabo,Govender, karabo.govender82@telkomsa.net ,0613053706,2003-06-14,F,Northern Cape,Upington,2022-02-04,Product Enrollment,2022-04-12,AC001509,Personal Loan,Active,,50000,24146.46,,,,,
CL00241,Lindiwe,Ndlovu,lindiwe.ndlovu80@telkomsa.net,+27642681144,1972-10-11,M,Mpumalanga,Witbank,2022-01-26,Transaction,2022-04-16,AC000315,Personal Loan,,,,,Online Banking,,,Refund,2815.19
CL00951,Farhaan,Steyn,farhaan.steyn7@webmail.co.za,+27818278024,2005-07-02,F,Northern Cape,Kimberley,2022-04-09,Product Enrollment,2022-04-18,AC001268,Savings,Closed,,,38559.55,,,,,
CL00639,Johan,Mahlangu,johan.mahlangu69@telkomsa.net,27823081873,1984-05-12,M,Gauteng,Pretoria,2022-02-10,Transaction,2022-04-19,AC000845,Savings,,,,,POS,,,Refund,4002.05
CL00111,Ilse,Ndlovu,ilse.ndlovu48@webmail.co.za,,1983-01-11,M,Northern Cape,Kimberley,2022-03-31,Transaction,2022-04-21,AC000144,Personal Loan,,,,,Online Banking,,,EFT Payment,5310.86
CL00470,Ayesha,Nkosi,AYESHA.NKOSI66@TELKOMSA.NET,0626060776,1951-10-25,F,North West,Mahikeng,2022-03-09,Transaction,2022-04-22,AC000626,Personal Loan,,,,,Branch,,,Withdrawal,-1080.23
CL00052,Musa,Botha,MUSA.BOTHA73@WEBMAIL.CO.ZA,27734786401,1992-02-12,F,Gauteng,Soweto,2022-04-20,Product Enrollment,2022-04-23,AC000070,Personal Loan,Active,,75000,44905.82,,,,,
CL01434,Lindiwe,Steyn,lindiwe.steyn22@telkomsa.net,0652984200,1971-10-17,F,Northern Cape,Kimberley,2022-01-21,Transaction,2022-04-24,AC001909,Credit Card,,,,,Online Banking,,,Refund,2926.88
CL01434,Lindiwe,Steyn,lindiwe.steyn22@telkomsa.net,0652984200,1971-10-17,F,Northern Cape,Kimberley,2022-01-21,Transaction,2022-04-26,AC001907,Personal Loan,,,,,ATM,,,Withdrawal,-3561.17
CL00057,Mpho,Nkosi,mpho.nkosi87@webmail.co.za,0768419378,1999-08-09,M,Gauteng,Pretoria,2022-02-12,Transaction,2022-04-28,AC000075,Savings,,,,,Branch,,,Deposit,4125.24
CL01462,Sipho,Adams,sipho.adams19@telkomsa.net,27677269122,1987-12-13,M,KwaZulu Natal,Durban,2022-04-07,Product Enrollment,2022-04-30,AC001945,Savings,Active,,,13057.36,,,,,
CL00567,Mpho,Mokoena,mpho.mokoena67@yahoo.com,27842605088,1969-05-20,U,Gauteng,Soweto,2022-04-22,Product Enrollment,2022-05-01,AC000752,Savings,Active,,,54024.97,,,,,
CL01320,Sam,De Villiers, sam.de villiers82@webmail.co.za ,0726253006,1962-02-06,F,North West,Mahikeng,2022-01-17,Transaction,2022-05-06,AC001751,Credit Card,,,,,POS,,,POS Purchase,-827.48
CL00299,Sipho,Zulu,sipho.zulu70@telkomsa.net,+27675882155,2000-12-07,F,Western Cape,Paarl,2022-03-17,Transaction,2022-05-07,AC000391,Savings,,,,,POS,,,POS Purchase,-5143.71
CL00015,Johan,Botha,JOHAN.BOTHA83@GMAIL.COM,063-517-1761,1985-12-31,F,Mpumalanga,Witbank,2022-04-21,Product Enrollment,2022-05-08,AC000016,Savings,Active,,,6975.19,,,,,
CL00041,Kyle,Smith,kyle.smith45@yahoo.com,084 152 0596,1949-09-27,M,Gauteng,Soweto,2022-04-17,Product Enrollment,2022-05-17,AC000055,Credit Card,Active,20000,,1019.15,,,,,
CL00300,Kagiso,Mabaso,kagiso.mabaso79@yahoo.com,0783452813,1983-08-06,F,Northern Cape,Kimberley,2022-01-22,Transaction,2022-05-24,AC000393,Credit Card,,,,,Online Banking,,,EFT Payment,4500.84
CL00513,Kyle,Van der Merwe,kyle.van der merwe88@gmail.com,0703579924,1956-06-17,M,Eastern Cape,East London,2022-02-23,Product Enrollment,2022-05-24,AC000678,Personal Loan,Active,,10000,8649.75,,,,,
CL01228,Chane,Abrahams,chane.abrahams52@outlook.com,+27736171733,1970-05-27,F,Free State,Bloemfontein,2022-02-04,Product Enrollment,2022-05-28,AC001621,Personal Loan,Closed,,100000,63348.81,,,,,
CL00123,Nomvula,Khumalo,nomvula.khumalo67@yahoo.com,0676805303,1959-07-30,F,Northern Cape,Kimberley,2022-04-24,Product Enrollment,2022-05-29,AC000159,Personal Loan,Active,,20000,17975.05,,,,,
CL01239,Sam,Adams,sam.adams76@outlook.com,+27775909282,2005-04-25,F,Northern Cape,Upington,2022-05-14,Product Enrollment,2022-06-04,AC001641,Savings,Active,,,35264.99,,,,,
CL00280,Ilse,Botha,ilse.botha97@yahoo.com,0615951637,1961-01-14,F,Western Cape,Paarl,2022-04-26,Product Enrollment,2022-06-05,AC000369,Personal Loan,Active,,50000,45766.93,,,,,
CL00605,Lindiwe,Zulu,lindiwe.zulu79@gmail.com,079-233-1937,2000-09-14,M,Eastern Cape,Mthatha,2022-01-28,Product Enrollment,2022-06-06,AC000797,Savings,Suspended,,,60397.26,,,,,
CL00951,Farhaan,Steyn,farhaan.steyn7@webmail.co.za,+27818278024,2005-07-02,F,Northern Cape,Kimberley,2022-04-09,Transaction,2022-06-06,AC001268,Savings,,,,,ATM,,,Withdrawal,-5106.78
CL00842,Farhaan,Zulu,farhaan.zulu67@yahoo.com,0787340280,1967-07-31,M,Eastern Cape,East London,2022-03-06,Product Enrollment,2022-06-09,AC001102,Personal Loan,Active,,100000,6437.19,,,,,
CL01387,Thabo,Ndlovu,thabo.ndlovu47@telkomsa.net,0724712584,1999-06-19,M,Mpumalanga,Mbombela,2022-05-21,Product Enrollment,2022-06-09,AC001837,Personal Loan,Active,,50000,21998.04,,,,,
CL01224,Wian,Abrahams,WIAN.ABRAHAMS30@OUTLOOK.COM,+27716480092,2000-05-05,M,Limpopo,Polokwane,2022-02-04,Product Enrollment,2022-06-12,AC001618,Personal Loan,Active,,75000,71730.98,,,,,
CL00453,Zanele,Smith,zanele.smith37@outlook.com,0775785643,1981-05-13,,Eastern Cape,East London,2022-04-07,Product Enrollment,2022-06-13,AC000606,Savings,Active,,,28895.78,,,,,
CL01137,Karabo,Zulu,karabo.zulu32@yahoo.com,+27815951813,1964-11-02,M,Eastern Cape,East London,2022-05-12,Product Enrollment,2022-06-14,AC001512,Savings,Active,,,62551.21,,,,,
CL00564,Mpho,Molefe,mpho.molefe42@outlook.com,0768828026,1948-03-05,U,Northern Cape,Upington,2022-04-17,Product Enrollment,2022-06-15,AC000749,Personal Loan,Active,,20000,12700.37,,,,,
CL00873,David,De Villiers,david.de villiers92@telkomsa.net,063-344-9200,1983-09-28,M,Western Cape,George,2022-03-23,Product Enrollment,2022-06-15,AC001145,Credit Card,Active,10000,,7984.21,,,,,
CL00695,Sipho,Petersen,SIPHO.PETERSEN20@OUTLOOK.COM,0674617959,2000-08-08,M,Mpumalanga,Witbank,2022-03-18,Product Enrollment,2022-06-16,AC000916,Credit Card,Active,15000,,10213.21,,,,,
CL00695,Sipho,Petersen,SIPHO.PETERSEN20@OUTLOOK.COM,0674617959,2000-08-08,M,Mpumalanga,Witbank,2022-03-18,Transaction,2022-06-19,AC000916,Credit Card,,,,,POS,,,Refund,5477.08
CL00639,Johan,Mahlangu,johan.mahlangu69@telkomsa.net,27823081873,1984-05-12,M,Gauteng,Pretoria,2022-02-10,Transaction,2022-06-21,AC000845,Savings,,,,,Online Banking,,,EFT Payment,5670.12
CL00206,Sam,Zulu, sam.zulu69@telkomsa.net ,,1985-12-31,M,Free State,Welkom,2022-06-18,Product Enrollment,2022-06-24,AC000272,Personal Loan,Active,,50000,30537.3,,,,,
CL00241,Lindiwe,Ndlovu,lindiwe.ndlovu80@telkomsa.net,+27642681144,1972-10-11,M,Mpumalanga,Witbank,2022-01-26,Transaction,2022-06-24,AC000315,Personal Loan,,,,,EFT,,,Fee,-1785.07
CL00951,Farhaan,Steyn,farhaan.steyn7@webmail.co.za,+27818278024,2005-07-02,F,Northern Cape,Kimberley,2022-04-09,Transaction,2022-06-24,AC001268,Savings,,,,,ATM,,,Deposit,3609.06
CL01462,Sipho,Adams,sipho.adams19@telkomsa.net,27677269122,1987-12-13,M,KwaZulu Natal,Durban,2022-04-07,Transaction,2022-06-28,AC001945,Savings,,,,,POS,,,POS Purchase,-5685.66
CL00567,Mpho,Mokoena,mpho.mokoena67@yahoo.com,27842605088,1969-05-20,U,Gauteng,Soweto,2022-04-22,Transaction,2022-06-30,AC000752,Savings,,,,,EFT,,,Debit Order,-1454.42
CL01137,Karabo,Zulu,karabo.zulu32@yahoo.com,+27815951813,1964-11-02,M,Eastern Cape,East London,2022-05-12,Transaction,2022-06-30,AC001512,Savings,,,,,POS,,,POS Purchase,-5351.03
CL00241,Lindiwe,Ndlovu,lindiwe.ndlovu80@telkomsa.net,+27642681144,1972-10-11,M,Mpumalanga,Witbank,2022-01-26,Transaction,2022-07-01,AC000315,Personal Loan,,,,,ATM,,,Withdrawal,-390.77
CL00057,Mpho,Nkosi,mpho.nkosi87@webmail.co.za,0768419378,1999-08-09,M,Gauteng,Pretoria,2022-02-12,Transaction,2022-07-03,AC000075,Savings,,,,,POS,,,POS Purchase,-3589.03
CL00006,Lindiwe,Smith, lindiwe.smith5@webmail.co.za ,0786279418,1977-02-03,M,Northern Cape,Kimberley,2022-04-25,Product Enrollment,2022-07-04,AC000006,Personal Loan,Active,,50000,38131.96,,,,,
CL00057,Mpho,Nkosi,mpho.nkosi87@webmail.co.za,0768419378,1999-08-09,M,Gauteng,Pretoria,2022-02-12,Transaction,2022-07-04,AC000075,Savings,,,,,EFT,,,Deposit,1271.86
CL01387,Thabo,Ndlovu,thabo.ndlovu47@telkomsa.net,0724712584,1999-06-19,M,Mpumalanga,Mbombela,2022-05-21,Transaction,2022-07-06,AC001837,Personal Loan,,,,,Mobile App,,,EFT Payment,6801.13
CL00951,Farhaan,Steyn,farhaan.steyn7@webmail.co.za,+27818278024,2005-07-02,F,Northern Cape,Kimberley,2022-04-09,Transaction,2022-07-14,AC001268,Savings,,,,,EFT,,,Debit Order,-2598.8
CL00206,Sam,Zulu, sam.zulu69@telkomsa.net ,,1985-12-31,M,Free State,Welkom,2022-06-18,Transaction,2022-07-15,AC000272,Personal Loan,,,,,EFT,,,Debit Order,-231.52
CL00113,Grace,Dlamini,grace.dlamini40@telkomsa.net,+27614206183,1951-12-06,M,Free State,Bloemfontein,2022-03-27,Product Enrollment,2022-07-16,AC000146,Personal Loan,Active,,20000,14763.2,,,,,
CL01244,Farhaan,Mabaso,farhaan.mabaso52@webmail.co.za,074-697-3542,2007-05-06,M,Western Cape,George,2022-05-25,Product Enrollment,2022-07-17,AC001650,Credit Card,Suspended,15000,,9241.31,,,,,
CL00265,Mpho,Kruger,mpho.kruger23@gmail.com,073 294 4497,1974-07-23,F,Eastern Cape,East London,2022-04-13,Product Enrollment,2022-07-21,AC000347,Credit Card,Active,20000,,9803.84,,,,,
CL00848,Wian,De Villiers,wian.de villiers41@yahoo.com,0818123479,1969-10-11,M,Mpumalanga,Witbank,2022-07-16,Product Enrollment,2022-07-23,AC001112,Credit Card,Active,15000,,6588.27,,,,,
CL01244,Farhaan,Mabaso,farhaan.mabaso52@webmail.co.za,074-697-3542,2007-05-06,M,Western Cape,George,2022-05-25,Transaction,2022-07-24,AC001650,Credit Card,,,,,Mobile App,,,EFT Payment,4733.33
CL00549,Sam,Mahlangu,sam.mahlangu91@gmail.com,077 307 6710,1987-10-02,M,Northern Cape,Kimberley,2022-07-01,Product Enrollment,2022-07-25,AC000732,Savings,Closed,,,8186.13,,,,,
CL01430,Andile,Mahlangu,andile.mahlangu95@webmail.co.za,27745498258,1972-06-23,M,Eastern Cape,Mthatha,2022-01-19,Product Enrollment,2022-07-25,AC001901,Credit Card,Active,30000,,1422.58,,,,,
CL00541,Marike,Dlamini,marike.dlamini31@telkomsa.net,27774923148,1974-09-24,M,Gauteng,Soweto,2022-01-11,Product Enrollment,2022-07-26,AC000720,Savings,Active,,,8905.65,,,,,
CL01236,Sipho,Dlamini, SIPHO.DLAMINI43@TELKOMSA.NET ,0749147916,1984-02-25,F,Western Cape,George,2022-07-25,Product Enrollment,2022-07-29,AC001635,Credit Card,Closed,5000,,1120.74,,,,,
CL00320,Andile,Mabaso,andile.mabaso29@yahoo.com,+27771163128,1991-03-29,F,North West,Rustenburg,2022-05-19,Product Enrollment,2022-07-30,AC000413,Savings,Active,,,15923.82,,,,,
CL00470,Ayesha,Nkosi,AYESHA.NKOSI66@TELKOMSA.NET,0626060776,1951-10-25,F,North West,Mahikeng,2022-03-09,Transaction,2022-07-30,AC000626,Personal Loan,,,,,EFT,,,Fee,-6204.2
CL01004,Werner,Mahlangu,WERNER.MAHLANGU38@OUTLOOK.COM,+27621673270,2004-11-27,M,Limpopo,Tzaneen,2022-02-09,Product Enrollment,2022-07-30,AC001345,Savings,Active,,,59333.08,,,,,
CL00848,Wian,De Villiers,wian.de villiers41@yahoo.com,0818123479,1969-10-11,M,Mpumalanga,Witbank,2022-07-16,Transaction,2022-07-31,AC001112,Credit Card,,,,,ATM,,,Deposit,6175.89
CL01387,Thabo,Ndlovu,thabo.ndlovu47@telkomsa.net,0724712584,1999-06-19,M,Mpumalanga,Mbombela,2022-05-21,Transaction,2022-08-02,AC001837,Personal Loan,,,,,EFT,,,Debit Order,-3207.92
CL00453,Zanele,Smith,zanele.smith37@outlook.com,0775785643,1981-05-13,,Eastern Cape,East London,2022-04-07,Transaction,2022-08-03,AC000606,Savings,,,,,Branch,,,Withdrawal,-2567.23
CL00605,Lindiwe,Zulu,lindiwe.zulu79@gmail.com,079-233-1937,2000-09-14,M,Eastern Cape,Mthatha,2022-01-28,Transaction,2022-08-04,AC000797,Savings,,,,,POS,,,POS Purchase,-2004.27
CL00234,Sipho,Govender,sipho.govender25@outlook.com,068 572 3173,1986-12-14,F,KwaZulu Natal,Richards Bay,2022-07-27,Product Enrollment,2022-08-05,AC000304,Savings,Active,,,72757.81,,,,,
CL01282,David,Pillay,david.pillay15@telkomsa.net,078-452-4729,1969-05-17,M,Northern Cape,Kimberley,2022-07-31,Product Enrollment,2022-08-06,AC001711,Personal Loan,Active,,50000,17235.03,,,,,
CL00842,Farhaan,Zulu,farhaan.zulu67@yahoo.com,0787340280,1967-07-31,M,Eastern Cape,East London,2022-03-06,Transaction,2022-08-07,AC001102,Personal Loan,,,,,Mobile App,,,EFT Payment,3535.24
CL00453,Zanele,Smith,zanele.smith37@outlook.com,0775785643,1981-05-13,,Eastern Cape,East London,2022-04-07,Transaction,2022-08-09,AC000606,Savings,,,,,ATM,,,Deposit,2698.46
CL00057,Mpho,Nkosi,mpho.nkosi87@webmail.co.za,0768419378,1999-08-09,M,Gauteng,Pretoria,2022-02-12,Transaction,2022-08-12,AC000075,Savings,,,,,Branch,,,Withdrawal,-7134.51
CL01137,Karabo,Zulu,karabo.zulu32@yahoo.com,+27815951813,1964-11-02,M,Eastern Cape,East London,2022-05-12,Transaction,2022-08-12,AC001512,Savings,,,,,POS,,,POS Purchase,-6941.69
CL00549,Sam,Mahlangu,sam.mahlangu91@gmail.com,077 307 6710,1987-10-02,M,Northern Cape,Kimberley,2022-07-01,Transaction,2022-08-14,AC000732,Savings,,,,,POS,,,POS Purchase,-5500.73
CL00564,Mpho,Molefe,mpho.molefe42@outlook.com,0768828026,1948-03-05,U,Northern Cape,Upington,2022-04-17,Transaction,2022-08-14,AC000749,Personal Loan,,,,,ATM,,,Withdrawal,-2624.46
CL00368,Nomvula,Kruger,nomvula.kruger50@gmail.com,0707590872,1992-12-20,F,Free State,Bloemfontein,2022-05-07,Product Enrollment,2022-08-16,AC000481,Savings,Active,,,28506.29,,,,,
CL01434,Lindiwe,Steyn,lindiwe.steyn22@telkomsa.net,0652984200,1971-10-17,F,Northern Cape,Kimberley,2022-01-21,Transaction,2022-08-22,AC001907,Personal Loan,,,,,Mobile App,,,EFT Payment,5107.63
CL00928,Lerato,Fourie, lerato.fourie81@outlook.com ,27606519070,1999-06-09,M,North West,Mahikeng,2022-03-18,Product Enrollment,2022-08-25,AC001227,Savings,Active,,,48661.29,,,,,
CL00343,Marike,Smith,marike.smith28@gmail.com,,1965-10-29,F,North West,Mahikeng,2022-04-17,Product Enrollment,2022-08-26,AC000443,Credit Card,Active,20000,,9337.24,,,,,
CL00596,Zanele,Smith,zanele.smith87@outlook.com,0721633753,1952-01-02,M,Eastern Cape,Mthatha,2022-05-30,Product Enrollment,2022-08-26,AC000785,Personal Loan,Closed,,50000,23839.5,,,,,
CL00042,Karabo,Naidoo,karabo.naidoo28@outlook.com,0792921542,1969-05-26,F,Western Cape,Stellenbosch,2022-08-23,Product Enrollment,2022-08-27,AC000056,Personal Loan,Closed,,20000,9933.43,,,,,
CL00057,Mpho,Nkosi,mpho.nkosi87@webmail.co.za,0768419378,1999-08-09,M,Gauteng,Pretoria,2022-02-12,Transaction,2022-08-27,AC000075,Savings,,,,,ATM,,,Withdrawal,-4890.23
CL01216,Precious,Nkosi, PRECIOUS.NKOSI74@WEBMAIL.CO.ZA ,065-452-4077,1969-03-13,U,Free State,Welkom,2022-06-17,Product Enrollment,2022-08-28,AC001612,Personal Loan,Active,,75000,17602.91,,,,,
CL01368,Andile,Mahlangu,andile.mahlangu49@telkomsa.net,+27757002094,1949-07-08,M,Mpumalanga,Witbank,2022-07-07,Product Enrollment,2022-08-28,AC001812,Credit Card,Active,20000,,4244.92,,,,,
CL01091,Marike,Nkosi,marike.nkosi44@gmail.com,+27763048456,1972-03-24,,Eastern Cape,Gqeberha,2022-08-21,Product Enrollment,2022-08-31,AC001460,Personal Loan,Active,,50000,17503.16,,,,,
CL01150,Kagiso,Zulu,kagiso.zulu44@yahoo.com,+27831777764,1951-11-05,M,Northern Cape,Upington,2022-02-13,Product Enrollment,2022-09-02,AC001533,Personal Loan,Active,,20000,13678.2,,,,,
CL00873,David,De Villiers,david.de villiers92@telkomsa.net,063-344-9200,1983-09-28,M,Western Cape,George,2022-03-23,Transaction,2022-09-03,AC001145,Credit Card,,,,,Mobile App,,,EFT Payment,2787.32
CL01142,Grace,Adams,grace.adams38@yahoo.com,0714260298,1951-05-15,F,Western Cape,George,2022-04-28,Product Enrollment,2022-09-03,AC001518,Personal Loan,Closed,,20000,4348.55,,,,,
CL00868,Sam,Steyn,sam.steyn84@outlook.com,27794761327,1989-08-18,M,Western Cape,George,2022-07-21,Product Enrollment,2022-09-04,AC001138,Credit Card,Active,5000,,4012.84,,,,,
CL00577,Mpho,Botha,mpho.botha27@webmail.co.za,+27659840363,1981-12-29,M,Western Cape,Stellenbosch,2022-08-16,Product Enrollment,2022-09-05,AC000761,Credit Card,Closed,10000,,6051.01,,,,,
CL01368,Andile,Mahlangu,andile.mahlangu49@telkomsa.net,+27757002094,1949-07-08,M,Mpumalanga,Witbank,2022-07-07,Transaction,2022-09-05,AC001812,Credit Card,,,,,POS,,,POS Purchase,-7072.16
CL00947,Johan,Fourie,johan.fourie78@yahoo.com,0817523750,1994-07-07,F,KwaZulu Natal,Richards Bay,2022-07-24,Product Enrollment,2022-09-06,AC001256,Credit Card,Active,5000,,867.51,,,,,
CL01209,Bongani,Khumalo,BONGANI.KHUMALO42@TELKOMSA.NET,27644967051,1984-12-15,M,Eastern Cape,Mthatha,2022-07-26,Product Enrollment,2022-09-08,AC001604,Personal Loan,Closed,,10000,9230.28,,,,,
CL00835,Bongani,Khumalo,bongani.khumalo70@webmail.co.za,27606581192,1958-09-18,F,Gauteng,Soweto,2022-05-08,Product Enrollment,2022-09-09,AC001094,Personal Loan,Active,,75000,17495.32,,,,,
CL01373,Precious,Botha,precious.botha87@telkomsa.net,0613659852,1977-07-01,F,Gauteng,Soweto,2022-03-05,Product Enrollment,2022-09-09,AC001819,Credit Card,Active,30000,,13323.68,,,,,
CL00712,Priya,Govender,priya.govender61@gmail.com,+27807640565,1988-10-14,M,Eastern Cape,Gqeberha,2022-08-23,Product Enrollment,2022-09-10,AC000944,Savings,Active,,,58486.91,,,,,
CL01426,Sipho,Sithole,sipho.sithole81@webmail.co.za,27779768556,1982-08-06,F,North West,Mahikeng,2022-03-30,Product Enrollment,2022-09-13,AC001895,Personal Loan,Closed,,100000,86973.91,,,,,
CL00707,Thabo,Khumalo,thabo.khumalo87@outlook.com,0648538483,1992-10-21,M,North West,Rustenburg,2022-08-21,Product Enrollment,2022-09-15,AC000932,Credit Card,Active,10000,,9121.35,,,,,
CL00712,Priya,Govender,priya.govender61@gmail.com,+27807640565,1988-10-14,M,Eastern Cape,Gqeberha,2022-08-23,Transaction,2022-09-17,AC000944,Savings,,,,,Online Banking,,,EFT Payment,1746.62
CL01137,Karabo,Zulu,karabo.zulu32@yahoo.com,+27815951813,1964-11-02,M,Eastern Cape,East London,2022-05-12,Product Enrollment,2022-09-17,AC001511,Personal Loan,Active,,100000,15378.97,,,,,
CL01277,Andile,Mokoena,andile.mokoena92@outlook.com,+27628130059,1951-03-17,M,Free State,Bloemfontein,2022-08-01,Product Enrollment,2022-09-17,AC001703,Savings,Active,,,1944.65,,,,,
CL00541,Marike,Dlamini,marike.dlamini31@telkomsa.net,27774923148,1974-09-24,M,Gauteng,Soweto,2022-01-11,Transaction,2022-09-18,AC000720,Savings,,,,,ATM,,,Withdrawal,-7705.91
CL00707,Thabo,Khumalo,thabo.khumalo87@outlook.com,0648538483,1992-10-21,M,North West,Rustenburg,2022-08-21,Product Enrollment,2022-09-20,AC000934,Savings,Closed,,,73476.48,,,,,
CL01137,Karabo,Zulu,karabo.zulu32@yahoo.com,+27815951813,1964-11-02,M,Eastern Cape,East London,2022-05-12,Transaction,2022-09-20,AC001512,Savings,,,,,Branch,,,Deposit,2424.9
CL01387,Thabo,Ndlovu,thabo.ndlovu47@telkomsa.net,0724712584,1999-06-19,M,Mpumalanga,Mbombela,2022-05-21,Transaction,2022-09-20,AC001837,Personal Loan,,,,,ATM,,,Withdrawal,-5202.59
CL01135,Karabo,Govender, karabo.govender82@telkomsa.net ,0613053706,2003-06-14,F,Northern Cape,Upington,2022-02-04,Transaction,2022-09-21,AC001509,Personal Loan,,,,,POS,,,POS Purchase,-5343.24
CL00677,Sipho,Botha,SIPHO.BOTHA81@TELKOMSA.NET,0636677240,1959-11-10,F,Western Cape,Cape Town,2022-06-21,Product Enrollment,2022-09-22,AC000892,Savings,Closed,,,30752.31,,,,,
CL01426,Sipho,Sithole,sipho.sithole81@webmail.co.za,27779768556,1982-08-06,F,North West,Mahikeng,2022-03-30,Transaction,2022-09-22,AC001895,Personal Loan,,,,,Branch,,,Withdrawal,-3349.47
CL00126,Ruan,De Villiers,ruan.de villiers21@outlook.com,0646244264,1984-06-06,F,Eastern Cape,Mthatha,2022-05-30,Product Enrollment,2022-09-23,AC000162,Credit Card,Active,50000,,11312.1,,,,,
CL00792,Wian,Sithole,wian.sithole29@telkomsa.net,+27733034109,1982-03-10,M,Western Cape,Stellenbosch,2022-06-10,Product Enrollment,2022-09-24,AC001041,Personal Loan,Active,,75000,481.48,,,,,
CL01236,Sipho,Dlamini, SIPHO.DLAMINI43@TELKOMSA.NET ,0749147916,1984-02-25,F,Western Cape,George,2022-07-25,Transaction,2022-09-25,AC001635,Credit Card,,,,,POS,,,POS Purchase,-7303.21
CL01277,Andile,Mokoena,andile.mokoena92@outlook.com,+27628130059,1951-03-17,M,Free State,Bloemfontein,2022-08-01,Transaction,2022-09-25,AC001703,Savings,,,,,POS,,,POS Purchase,-3170.37
CL01277,Andile,Mokoena,andile.mokoena92@outlook.com,+27628130059,1951-03-17,M,Free State,Bloemfontein,2022-08-01,Transaction,2022-09-27,AC001703,Savings,,,,,POS,,,POS Purchase,-5691.93
CL01310,Sipho,Molefe,SIPHO.MOLEFE65@OUTLOOK.COM,,1956-12-11,U,Gauteng,Pretoria,2022-07-25,Product Enrollment,2022-09-28,AC001739,Credit Card,Closed,20000,,1991.8,,,,,
CL01462,Sipho,Adams,sipho.adams19@telkomsa.net,27677269122,1987-12-13,M,KwaZulu Natal,Durban,2022-04-07,Product Enrollment,2022-09-28,AC001944,Credit Card,Active,20000,,18455.62,,,,,
CL00168,Ashwin,Dlamini,ashwin.dlamini41@gmail.com,082-768-2298,1996-09-19,M,Gauteng,Sandton,2022-03-09,Product Enrollment,2022-09-29,AC000223,Personal Loan,Active,,75000,26172.45,,,,,
CL00282,Naledi,Sithole,,0798433377,1976-01-19,,Mpumalanga,Witbank,2022-04-21,Product Enrollment,2022-09-29,AC000372,Credit Card,Active,15000,,1358.15,,,,,
CL00848,Wian,De Villiers,wian.de villiers41@yahoo.com,0818123479,1969-10-11,M,Mpumalanga,Witbank,2022-07-16,Transaction,2022-09-29,AC001112,Credit Card,,,,,POS,,,POS Purchase,-1691.97
